688,5,5,  1,  1.157
231192,154687,5,5,  2,  0.884
231193,110894,5,5,  1,  0.284
231194,148337,5,5,  1,  0.303
231195,231196,5,5,  1,  0.508
231196, 78949,5,5,  1,  0.202
231197,120823,5,5,  1,  0.225
231198,162701,5,5,  1,  0.116
231199,223253,5,5,  1,  0.202
231200,133950,5,5,  1,  0.948
231201,138605,5,5,  1,  0.142
231202, 59751,5,5,  1,  0.284
231202, 59756,5,5,  1,  0.009
231202, 69352,5,5,  1,  0.535
231203,175985,5,5,  1,  0.171
231204, 57939,5,5,  1,  0.433
231205,231210,5,5,  1,  0.484
231206,231208,5,5,  1,  0.561
231207,124408,5,5,  1,  0.269
231207,231205,5,5,  1,  0.432
231208,231213,5,5,  1,  0.316
231209, 77319,5,5,  1,  0.378
231210,144220,5,5,  1,  0.457
231210,221617,5,5,  1,  0.142
231211, 78971,5,5,  1,  0.089
231211,231206,5,5,  1,  0.312
231212,231207,5,5,  1,  0.481
231213,201325,5,5,  1,  0.266
231213,259311,5,5,  1,  0.575
231214, 91660,5,5,  1,  0.472
231215,185115,5,5,  1,  0.369
231215,185116,5,5,  1,  0.444
231216, 30489,5,5,  1,  0.144
231217, 18337,5,5,  1,  0.116
231218,115102,5,5,  1,  0.150
231218,115103,5,5,  1,  0.100
231219,144612,5,5,  1,  0.216
231220,231221,5,5,  2,  0.445
231221,220264,5,5,  1,  0.241
231222, 48977,5,5,  1,  0.410
231223,221660,5,5,  1,  0.320
231224, 50249,5,5,  1,  0.389
231224, 59403,5,5,  1,  0.164
231225, 50327,5,5,  3,  2.456
231225,214731,5,5,  1,  0.257
231226, 43925,5,5,  1,  0.209
231227,221650,5,5,  1,  0.211
231227,253214,5,5,  1,  0.201
231228,103857,5,5,  1,  0.420
231228,221633,5,5,  1,  0.590
231229,221633,5,5,  1,  0.713
231229,231230,5,5,  3,  0.992
231230,231229,5,5,  3,  0.992
231230,231231,5,5,  5,  1.383
231231,231230,5,5,  4,  1.383
231232,258970,5,5,  3,  2.148
